Abkuerzung Betriebspunkt;Bezeichnung Betriebspunkt;Abkuerzung Betriebspunkt Strecke;Bezeichnung Betriebspunkt Strecke;LINIE;Kilometrierung des Betriebspunktes;LINIENNAME;VERWALTUNG;E;N;geopos;BPUIC;Didok Nummer;Name Haltestelle;lod
LTH;Langenthal;LTH;Langenthal;413;0.0;Langenthal - Niederbipp;SBB CFF;2626215.515;1229654.225;1229654.23115,2626215.52058;8508100;8100;Langenthal;http://lod.opentransportdata.swiss/didok/8508100
LTN;Lausanne-Triage Nord;LTN;Lausanne-Triage Nord;168;6.74618;Archy A - Lausanne-Triage Nord;SBB CFF;2532295.94;1154574.658;1154574.66114,2532295.94051;8501142;1142;Lausanne-Triage Nord;http://lod.opentransportdata.swiss/didok/8501142
LTS;Lausanne-Triage Sud;LT;Lausanne-Triage;170;9.05227;Lausanne-Triage (Est - Sud);SBB CFF;2530587.955;1153032.737;1153032.74114,2530587.95051;8501143;1143;Lausanne-Triage Sud;http://lod.opentransportdata.swiss/didok/8501143
LU;Luchsingen-Hatzingen;LU;Luchsingen-Hatzingen;736;78.69079;Ziegelbrucke Ost - Linthal Gleisende;SBB CFF;2721791.08;1202796.601;1202796.60111,2721791.08066;8503236;3236;Luchsingen-Hätzingen;http://lod.opentransportdata.swiss/didok/8503236
LVE;Le Verney (embr);LVE;Le Verney (embr);111;7.1;Vevey Ouest - Puidoux-Chexbres;SBB CFF;2548128.461;1148744.469;1148744.47114,2548128.46053;8504009;4009;Le Verney (embr);http://lod.opentransportdata.swiss/didok/8504009
LYS;Lyssach;LYS;Lyssach;450;86.54243;Olten Sud - Bern;SBB CFF;2610839.852;1212536.378;1212536.38115,2610839.85057;8508004;8004;Lyssach;http://lod.opentransportdata.swiss/didok/8508004
LYW;Lyss West (Agl);LY;Lyss;264;99.7905;Lyss West - Lyss Fulenmatt (Agl);SBB CFF;2589359.636;1214257.497;1214257.50116,2589359.64055;8515344;15344;Lyss West (Agl);http://lod.opentransportdata.swiss/didok/8515344
LZ;Luzern;LZ;Luzern;500;95.09297;Basel SBB - Olten - Luzern;SBB CFF;2666223.964;1211383.852;1211383.85113,2666223.96061;8505000;5000;Luzern;http://lod.opentransportdata.swiss/didok/8505000
LZGB;Luzern Cargo;LZGB;Luzern Cargo;551;95.15;Luzern Verbindung GB;SBB CFF;2666580.268;1211337.631;1211099.77113,2666450.30062;8505009;5009;Luzern Cargo;http://lod.opentransportdata.swiss/didok/8505009
MAE;Marwil;MAE;Marwil;830;11.25212;Wil - Weinfelden;SBB CFF;2722777.673;1265986.423;1265986.42113,2722777.67064;8506184;6184;Märwil;http://lod.opentransportdata.swiss/didok/8506184
MAEG;Magenwil;MAEG;Magenwil;650;25.93644;Killwangen West - Lenzburg - Daniken Ost;SBB CFF;2660112.242;1251826.623;1251826.62114,2660112.2406;8502106;2106;Mägenwil;http://lod.opentransportdata.swiss/didok/8502106
MAEN;Mannedorf;MAEN;Mannedorf;730;23.64843;Zurich Stadelhofen - Rapperswil;SBB CFF;2694899.076;1234370.152;1234370.15113,2694899.08063;8503106;3106;Männedorf;http://lod.opentransportdata.swiss/didok/8503106
MB;Malleray-Bevilard;MB;Malleray-Bevilard;226;61.78915;Sonceboz-Sombeval - Moutier - Delemont;SBB CFF;2587682.108;1231990.071;1231990.07116,2587682.11054;8500102;102;Malleray-Bévilard;http://lod.opentransportdata.swiss/didok/8500102
MBGO;Mulberg Ost;MBGO;Mulberg Ost;9781;453.8725;Bruttenertunnel Ost;SBB CFF;2691613.362;1254858.473;1254858.45114,2691613.32062;8519644;19644;Mülberg Ost;http://lod.opentransportdata.swiss/didok/8519644
MCEN;Monte Ceneri Nord;MCEN;Monte Ceneri Nord;600;162.6828;Immensee - Bellinzona - Chiasso;SBB CFF;2714902.442;1111392.885;1111392.89107,2714902.44068;8515413;15413;Monte Ceneri Nord;http://lod.opentransportdata.swiss/didok/8515413
MCEN;Monte Ceneri Nord;MCEN;Monte Ceneri Nord;607;162.6828;Mt. Ceneri - Rivera  (binario destro);SBB CFF;2714902.442;1111392.885;1111392.89107,2714902.44068;8515413;15413;Monte Ceneri Nord;http://lod.opentransportdata.swiss/didok/8515413
MDE;Melide;MDE;Melide;600;187.2297;Immensee - Bellinzona - Chiasso;SBB CFF;2717051.564;1090473.911;1090473.91106,2717051.56069;8505302;5302;Melide;http://lod.opentransportdata.swiss/didok/8505302
MEG;Meggen;MEG;Meggen;570;10.72047;Gutsch - Kussnacht - Immensee;SBB CFF;2671761.32;1211444.576;1211444.58113,2671761.32062;8505001;5001;Meggen;http://lod.opentransportdata.swiss/didok/8505001
MELS;Mels;MELS;Mels;890;2.54876;Sargans Ost - Ziegelbrucke;SBB CFF;2750358.983;1213309.231;1213309.23111,2750358.98068;8509412;9412;Mels;http://lod.opentransportdata.swiss/didok/8509412
MENS;Mendrisio Sud (bif);MEN;Mendrisio;634;0.5315;Mendrisio Sud - Stabio;SBB CFF;2719252.363;1080480.25;1080480.25106,2719252.3607;8515415;15415;Mendrisio Sud (bif);http://lod.opentransportdata.swiss/didok/8515415
MIES;Mies;MIES;Mies;150;49.678;Lausanne - Geneve-Aeroport;SBB CFF;2502072.9652;1128248.1856;1128248.19114,2502072.97049;8501014;1014;Mies;http://lod.opentransportdata.swiss/didok/8501014
ML;Meilen;ML;Meilen;730;19.46176;Zurich Stadelhofen - Rapperswil;SBB CFF;2691235.47;1236134.851;1236134.85114,2691235.47063;8503104;3104;Meilen;http://lod.opentransportdata.swiss/didok/8503104
MO;Mosen;MO;Mosen;651;24.1432;Hubeli - Beinwil - Lenzburg;SBB CFF;2659471.837;1232894.509;1232894.51114,2659471.8406;8502029;2029;Mosen;http://lod.opentransportdata.swiss/didok/8502029
MOR;Morges;MOR;Morges;150;12.5035;Lausanne - Geneve-Aeroport;SBB CFF;2527498.454;1151525.985;1151525.98115,2527498.45051;8501037;1037;Morges;http://lod.opentransportdata.swiss/didok/8501037
MOSM;Mendrisio S. Martino;MOSM;Mendrisio S. Martino;600;197.702;Immensee - Bellinzona - Chiasso;SBB CFF;2719915.987;1081802.062;1081802.06106,2719915.9907;8518475;18475;Mendrisio S Martino;http://lod.opentransportdata.swiss/didok/8518475
MS;Munsingen;MS;Munsingen;290;122.13149;Bern Wylerfeld - Thun;SBB CFF;2609209.984;1191365.891;1191365.89114,2609209.98057;8507006;7006;Münsingen;http://lod.opentransportdata.swiss/didok/8507006
MSCH;Munsterlingen-Scherzingen;MSCH;Munsterlingen-Scherzingen;824;96.16578;Romanshorn - Konstanz;SBB CFF;2734401.04;1277394.309;1277394.31113,2734401.04065;8506126;6126;Münsterlingen-Scherzingen;http://lod.opentransportdata.swiss/didok/8506126
MUN;Muntelier;MUN;Muntelier;256;24.7374;Muntelier GFM - Ins;SBB CFF;2577113.116;1198947.034;1198947.03115,2577113.12054;8504149;4149;Muntelier;http://lod.opentransportdata.swiss/didok/8504149
NAEN;Nanikon-Greifensee;NAEN;Nanikon-Greifensee;740;84.57718;Rapperswil - Uster - Wallisellen Ost;SBB CFF;2694245.083;1247251.454;1247251.45113,2694245.08063;8503126;3126;Nänikon-Greifensee;http://lod.opentransportdata.swiss/didok/8503126
NB;Niederbipp;NB;Niederbipp;411;14.548;Solothurn - Niederbipp;SBB CFF;2619386.781;1235531.542;1235531.54116,2619386.78057;8500211;211;Niederbipp;http://lod.opentransportdata.swiss/didok/8500211
NE;Neuchatel;NE;Neuchatel;215;75.29488;Neuchatel - Neuchatel Est;SBB CFF;2561746.781;1205197.457;1205197.46116,2561746.78053;8504221;4221;Neuchâtel;http://lod.opentransportdata.swiss/didok/8504221
NEBI;Neuchatel-Vauseyon (bif);NEBI;Neuchatel-Vauseyon (bif);210;73.95785;Daillens - Biel/Bienne;SBB CFF;2560519.523;1204673.014;1204673.01115,2560519.52053;8515347;15347;Neuchâtel-Vauseyon (bif);http://lod.opentransportdata.swiss/didok/8515347
NEGW;Neugut West bei DUE (Abzw);NEGW;Neugut West bei DUE (Abzw);747;107.7601;Neugut West (Abzw) - Chriesbach (Abzw);SBB CFF;2687824.812;1250911.705;1250911.70114,2687824.81062;8515457;15457;Neugut West bei DUE (Abzw);http://lod.opentransportdata.swiss/didok/8515457
NEMA;Neuchatel Est (bif);NE;Neuchatel;210;76.14;Daillens - Biel/Bienne;SBB CFF;2562483.432;1205610.87;1205610.87115,2562483.43053;8504242;4242;Neuchâtel Est (bif);http://lod.opentransportdata.swiss/didok/8504242
NHRH;Neuhausen Rheinfall;NHRH;Neuhausen Rheinfall;770;39.05;Bulach - Eglisau - Neuhausen;SBB CFF;2688480.328;1281683.779;1281683.78114,2688480.33061;8518924;18924;Neuhausen Rheinfall;http://lod.opentransportdata.swiss/didok/8518924
NIDB;Nidelbad (Abzw);NIDB;Nidelbad (Abzw);722;9.67456;ZH Langstrasse - Nidelbad - Litti;SBB CFF;2683374.446;1240733.372;1240733.37114,2683374.45062;8503328;3328;Nidelbad (Abzw);http://lod.opentransportdata.swiss/didok/8503328
NIE;Niederhasli;NIE;Niederhasli;761;15.06684;Oberglatt - Niederweningen Gleisende;SBB CFF;2679151.251;1259147.198;1259147.20114,2679151.25061;8503314;3314;Niederhasli;http://lod.opentransportdata.swiss/didok/8503314
NYB;Nyon (bif);NY;Nyon;159;0.27252;Nyon - Eysins;SBB CFF;2507301.3051;1137512.6923;1137512.69114,2507301.30049;8515645;15645;Nyon (bif);http://lod.opentransportdata.swiss/didok/8515645
OA;Oberaach;OA;Oberaach;840;73.20724;Winterthur Nord - Romanshorn;SBB CFF;2737918.977;1268565.973;1268565.97113,2737918.98065;8506108;6108;Oberaach;http://lod.opentransportdata.swiss/didok/8506108
OL;Olten;OL;Olten;500;39.29245;Basel SBB - Olten - Luzern;SBB CFF;2635441.909;1244670.532;1244670.53115,2635441.91058;8500218;218;Olten;http://lod.opentransportdata.swiss/didok/8500218
OM;Obermatt;OM;Obermatt;440;39.65054;Burgdorf West - Obermatt;SBB CFF;2623993.425;1200035.001;1200035.00114,2623993.43058;8508240;8240;Obermatt;http://lod.opentransportdata.swiss/didok/8508240
OM;Obermatt;OM;Obermatt;460;34.73468;Gumligen Sud - Fluhmuhle;SBB CFF;2623993.425;1200035.001;1200035.00114,2623993.43058;8508240;8240;Obermatt;http://lod.opentransportdata.swiss/didok/8508240
OPP;Oppikon;OPP;Oppikon;830;14.05437;Wil - Weinfelden;SBB CFF;2722196.908;1268080.022;1268080.02113,2722196.91064;8506185;6185;Oppikon;http://lod.opentransportdata.swiss/didok/8506185
OPS;Opfikon Sud;OPS;Opfikon Sud;706;6.49965;Zurich Seebach - Glattbrugg Sud;SBB CFF;2684410.299;1253242.109;1253242.11114,2684410.30062;8503035;3035;Opfikon Süd;http://lod.opentransportdata.swiss/didok/8503035
OWTP;Oberwinterthur SA Punten;OWTP;Oberwinterthur SA Punten;842;31.51756;Oberwinterthur - SA Punten;SBB CFF;2700453.973;1264374.13;1264374.13114,2700453.97063;8518875;18875;Oberwinterthur SA Pünten;http://lod.opentransportdata.swiss/didok/8518875
PF;Pfaffikon SZ;PF;Pfaffikon SZ;720;33.43889;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB CFF;2701487.49;1228871.97;1228871.97112,2701487.49064;8503209;3209;Pfäffikon SZ;http://lod.opentransportdata.swiss/didok/8503209
PFZ;Pfaffikon ZH;PFZ;Pfaffikon ZH;753;11.33125;Effretikon - Wetzikon - Hinwil;SBB CFF;2701679.796;1247121.201;1247121.20114,2701679.80063;8503301;3301;Pfäffikon ZH;http://lod.opentransportdata.swiss/didok/8503301
PRMA;Prilly-Malley;PRMA;Prilly-Malley;150;2.354;Lausanne - Geneve-Aeroport;SBB CFF;2535856.0067;1153164.2395;1153164.24114,2535856.01052;8518452;18452;Prilly-Malley;http://lod.opentransportdata.swiss/didok/8518452
PRO;Pratteln Ost (Abzw);PR;Pratteln;700;79.79974;Brugg - Pratteln Ost;SBB CFF;2619356.034;1263571.75;1263571.75116,2619356.03056;8515420;15420;Pratteln Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515420
PRSR;Pratteln Salina Raurica;PRSR;Pratteln Salina Raurica;700;78.38;Brugg - Pratteln Ost;SBB CFF;2620427.511;1264463.492;1264463.49116,2620427.51056;8517131;17131;Pratteln Salina Raurica;http://lod.opentransportdata.swiss/didok/8517131
PUI;Puidoux;PUI;Puidoux;250;12.1579;Lausanne Est - Bern;SBB CFF;2548335.067;1149391.962;1149391.96113,2548335.07053;8504012;4012;Puidoux;http://lod.opentransportdata.swiss/didok/8504012
QUA;Quartino;QUA;Quartino;631;163.95801;Cadenazzo - Pino confine;SBB CFF;2711918.975;1112123.457;1112123.46108,2711918.98068;8505405;5405;Quartino;http://lod.opentransportdata.swiss/didok/8505405
RAET;Raterschen;RAET;Raterschen;850;131.83907;St.Gallen - Winterthur Nord;SBB CFF;2702198.535;1261763.664;1261763.66114,2702198.54063;8506015;6015;Räterschen;http://lod.opentransportdata.swiss/didok/8506015
RAR;Raron;RAR;Raron;100;130.09;Lausanne - Simplon Tunnel I - Iselle;SBB CFF;2627955.266;1128383.073;1128383.07111,2627955.27061;8501604;1604;Raron;http://lod.opentransportdata.swiss/didok/8501604
RBGD;Rothenburg Dorf;RBGD;Rothenburg Dorf;500;86.995;Basel SBB - Olten - Luzern;SBB CFF;2663365.084;1215881.376;1215881.38113,2663365.08061;8502012;2012;Rothenburg Dorf;http://lod.opentransportdata.swiss/didok/8502012
RBLA;RBL A-Gruppe;RBL;Zurich RB Limmattal;692;12.18392;RBL Nord;SBB CFF;2672278.93;1251867.943;1251867.94115,2672278.93061;8503044;3044;RBL A-Gruppe;http://lod.opentransportdata.swiss/didok/8503044
RBLA;RBL A-Gruppe;RBL;Zurich RB Limmattal;696;12.18577;Ein-/Ausfahrt RBL Feld A;SBB CFF;2672278.93;1251867.943;1251867.94115,2672278.93061;8503044;3044;RBL A-Gruppe;http://lod.opentransportdata.swiss/didok/8503044
RBLD;RBL Depot;RBL;Zurich RB Limmattal;694;12.04321;RBL Depot;SBB CFF;2672338.929;1251728.942;1251728.94114,2672338.93061;8503043;3043;RBL Depot;http://lod.opentransportdata.swiss/didok/8503043
RBLO;RBL Ost;RBL;Zurich RB Limmattal;695;12.66491;RBL R-Gruppe;SBB CFF;2671794.924;1252038.945;1252038.95115,2671794.92061;8503542;3542;RBL Ost;http://lod.opentransportdata.swiss/didok/8503542
RBLZ;RBL Kopf Zurich;DT;Dietikon;691;11.40198;RBL Kopf Zurich - Killwangen West;SBB CFF;2672819.967;1251312.943;1251312.94114,2672819.97061;8503042;3042;RBL Kopf Zürich;http://lod.opentransportdata.swiss/didok/8503042
RCK;Rheineck;RCK;Rheineck;880;57.8334;Sargans Ost - St.Gallen;SBB CFF;2762250.681;1259570.718;1259570.72111,2762250.68067;8506313;6313;Rheineck;http://lod.opentransportdata.swiss/didok/8506313
REK;Rekingen AG;REK;Rekingen AG;701;38.11655;Eglisau - Koblenz - Stein Sackingen Ost;SBB CFF;2666857.072;1269185.398;1269185.40115,2666857.0706;8503408;3408;Rekingen AG;http://lod.opentransportdata.swiss/didok/8503408
REN;Renens VD;REN;Renens VD;150;4.51005;Lausanne - Geneve-Aeroport;SBB CFF;2534050.788;1154334.469;1154334.47114,2534050.79051;8501118;1118;Renens VD;http://lod.opentransportdata.swiss/didok/8501118
RENB;Renens VD Est (bif);REN;Renens VD;175;3.78552;Lausanne - (LSSB) - Renens VD Est;SBB CFF;2534670.41;1153906.708;1153906.71114,2534670.41051;8515354;15354;Renens VD Est (bif);http://lod.opentransportdata.swiss/didok/8515354
RF;Rheinfelden;RF;Rheinfelden;700;71.62832;Brugg - Pratteln Ost;SBB CFF;2626613.165;1266781.442;1266781.44116,2626613.16057;8500301;301;Rheinfelden;http://lod.opentransportdata.swiss/didok/8500301
RH;Romanshorn;RH;Romanshorn;824;82.15161;Romanshorn - Konstanz;SBB CFF;2746035.706;1270118.504;1270118.50112,2746035.71066;8506121;6121;Romanshorn;http://lod.opentransportdata.swiss/didok/8506121
RH;Romanshorn;RH;Romanshorn;840;82.15072;Winterthur Nord - Romanshorn;SBB CFF;2746035.706;1270118.504;1270118.50112,2746035.71066;8506121;6121;Romanshorn;http://lod.opentransportdata.swiss/didok/8506121
RHH;Romanshorn Feld H (Abzw);RH;Romanshorn;840;81.74239;Winterthur Nord - Romanshorn;SBB CFF;2746017.294;1269711.818;1269711.82113,2746017.29066;8515463;15463;Romanshorn Feld H (Abzw);http://lod.opentransportdata.swiss/didok/8515463
RID;Riddes;RID;Riddes;100;79.56962;Lausanne - Simplon Tunnel I - Iselle;SBB CFF;2582948.308;1113473.066;1113473.07111,2582948.31057;8501503;1503;Riddes;http://lod.opentransportdata.swiss/didok/8501503
RIET;Rietheim;RIET;Rietheim;701;43.38869;Eglisau - Koblenz - Stein Sackingen Ost;SBB CFF;2663073.532;1272566.255;1272566.25116,2663073.53059;8503410;3410;Rietheim;http://lod.opentransportdata.swiss/didok/8503410
RIK;Rickenbach-Attikon;RIK;Rickenbach-Attikon;840;33.53471;Winterthur Nord - Romanshorn;SBB CFF;2701688.211;1265833.311;1265833.31114,2701688.21063;8506018;6018;Rickenbach-Attikon;http://lod.opentransportdata.swiss/didok/8506018
RN;Rikon;RN;Rikon;754;11.34951;Winterthur Gruze - Bauma - Ruti ZH West;SBB CFF;2702400.868;1255798.707;1255798.71114,2702400.87063;8506005;6005;Rikon;http://lod.opentransportdata.swiss/didok/8506005
ROC;Roche VD;ROC;Roche VD;100;33.84125;Lausanne - Simplon Tunnel I - Iselle;SBB CFF;2560625.287;1134275.142;1134275.14113,2560625.29054;8501304;1304;Roche VD;http://lod.opentransportdata.swiss/didok/8501304
ROM;Romont;ROM;Romont;250;40.1979;Lausanne Est - Bern;SBB CFF;2559702.789;1171501.671;1171501.67114,2559702.79053;8504023;4023;Romont;http://lod.opentransportdata.swiss/didok/8504023
RSST;Rorschach Stadt;RSST;Rorschach Stadt;880;66.27202;Sargans Ost - St.Gallen;SBB CFF;2754571.869;1260333.327;1260333.33112,2754571.87067;8506322;6322;Rorschach Stadt;http://lod.opentransportdata.swiss/didok/8506322
RTR;Rothrist;RTR;Rothrist;450;46.20125;Olten Sud - Bern;SBB CFF;2633331.79;1239601.841;1239601.84116,2633331.79058;8508103;8103;Rothrist;http://lod.opentransportdata.swiss/didok/8508103
RU;Rupperswil;RU;Rupperswil;650;35.6368;Killwangen West - Lenzburg - Daniken Ost;SBB CFF;2651957.9;1250502.203;1250502.20115,2651957.90059;8502114;2114;Rupperswil;http://lod.opentransportdata.swiss/didok/8502114
RUB;Rubigen;RUB;Rubigen;290;119.03812;Bern Wylerfeld - Thun;SBB CFF;2608133.162;1194234.252;1194234.25114,2608133.16057;8507005;7005;Rubigen;http://lod.opentransportdata.swiss/didok/8507005
RUE;Ruti ZH;RUE;Ruti ZH;740;65.93582;Rapperswil - Uster - Wallisellen Ost;SBB CFF;2707125.921;1235363.151;1235363.15113,2707125.92064;8503121;3121;Rüti ZH;http://lod.opentransportdata.swiss/didok/8503121
RUES;Ruschlikon;RUES;Ruschlikon;720;10.64127;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB CFF;2684430.887;1240183.901;1240183.90113,2684430.89062;8503201;3201;Rüschlikon;http://lod.opentransportdata.swiss/didok/8503201
RUO;Rupperswil Ost;RU;Rupperswil;640;42.45073;Brugg - Rupperswil;SBB CFF;2652922.897;1250881.302;1250881.30115,2652922.90059;8515424;15424;Rupperswil Ost;http://lod.opentransportdata.swiss/didok/8515424
RUS;Russin;RUS;Russin;151;72.752;Geneve St-Jean - La Plaine-Frontiere;SBB CFF;2490324.474;1116209.62;1116209.62113,2490324.47048;8501002;1002;Russin;http://lod.opentransportdata.swiss/didok/8501002
SADI;Sare (dira);SADI;Sare (dira);581;340.23247;CBT Ovest;SBB CFF;2716768.601;1100682.842;1100682.84107,2716768.60069;8516168;16168;Sarè (dira);http://lod.opentransportdata.swiss/didok/8516168
SAX;Saxon;SAX;Saxon;100;75.27183;Lausanne - Simplon Tunnel I - Iselle;SBB CFF;2579509.164;1110912.735;1110912.73111,2579509.16057;8501502;1502;Saxon;http://lod.opentransportdata.swiss/didok/8501502
SBG;Sihlbrugg;SBG;Sihlbrugg;712;17.36071;Zurich Selnau - Adliswil - Sihlbrugg;SBB CFF;2686197.351;1232570.073;1232570.07114,2686197.35063;8502207;2207;Sihlbrugg;http://lod.opentransportdata.swiss/didok/8502207
SBG;Sihlbrugg;SBG;Sihlbrugg;9724;5.0;Meilibach (Abzw) - Sihlbrugg;SBB CFF;2686197.351;1232570.073;1232570.07114,2686197.35063;8502207;2207;Sihlbrugg;http://lod.opentransportdata.swiss/didok/8502207
SBL;St-Blaise CFF;SBL;St-Blaise CFF;210;79.36773;Daillens - Biel/Bienne;SBB CFF;2565288.182;1207160.106;1207160.11116,2565288.18053;8504222;4222;St-Blaise CFF;http://lod.opentransportdata.swiss/didok/8504222
SBRU;Steinbruch (Agl);SBRU;Steinbruch (Agl);230;101.63917;Delemont Est - Basel SBB Ost;SBB CFF;2605473.59;1252768.116;1252768.12117,2605473.59055;8500149;149;Steinbruch (Agl);http://lod.opentransportdata.swiss/didok/8500149
SCAE;Schanis;SCAE;Schanis;735;37.09457;Ziegelbrucke West - Rapperswil Ost;SBB CFF;2721729.932;1224210.268;1224210.27112,2721729.93066;8503119;3119;Schänis;http://lod.opentransportdata.swiss/didok/8503119
SCBU;Schubelbach-Buttikon;SCBU;Schubelbach-Buttikon;720;46.56993;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB CFF;2713714.399;1226134.636;1226134.64112,2713714.40065;8503222;3222;Schübelbach-Buttikon;http://lod.opentransportdata.swiss/didok/8503222
SCUB;Schupbach (Signau);SCUB;Schupbach (Signau);460;32.00169;Gumligen Sud - Fluhmuhle;SBB CFF;2622542.07;1197958.94;1197958.94114,2622542.07058;8516280;16280;Schüpbach (Signau);http://lod.opentransportdata.swiss/didok/8516280
SCWE;Schwerzenbach ZH;SCWE;Schwerzenbach ZH;740;87.25729;Rapperswil - Uster - Wallisellen Ost;SBB CFF;2692124.089;1248888.583;1248888.58113,2692124.09062;8503127;3127;Schwerzenbach ZH;http://lod.opentransportdata.swiss/didok/8503127
SEL;Selzach;SEL;Selzach;410;80.692;Olten - Solothurn - Biel/Bienne;SBB CFF;2601364.434;1227742.523;1227742.52116,2601364.43056;8500204;204;Selzach;http://lod.opentransportdata.swiss/didok/8500204
SETS;Sedrun Entluftungsstollen;SETS;Sedrun Entluftungsstollen;5003;1.41682;Sedrun Zugangs- und Entluftungsstollen;SBB CFF;2702142.233;1168784.328;1168784.3311,2702142.23066;8518493;18493;Sedrun Entlüftungsstollen;http://lod.opentransportdata.swiss/didok/8518493
SGF;St. Gallen St. Fiden;SGF;St. Gallen St. Fiden;880;78.15556;Sargans Ost - St.Gallen;SBB CFF;2747457.284;1255585.793;1255585.79112,2747457.28066;8506303;6303;St Gallen St Fiden;http://lod.opentransportdata.swiss/didok/8506303
SIFE;Sigirino finestra est;SIFE;Sigirino finestra est;5010;2.39383;Sigirino finestra;SBB CFF;2717478.056;1104478.703;1104478.70107,2717478.06069;8518499;18499;Sigirino finestra est;http://lod.opentransportdata.swiss/didok/8518499
SIFO;Sigirino finestra ouvest;SIFO;Sigirino finestra ouvest;5010;-0.06119;Sigirino finestra;SBB CFF;2715031.334;1104278.902;1104278.90107,2715031.33069;8518498;18498;Sigirino finestra ouvest;http://lod.opentransportdata.swiss/didok/8518498
SIGN;Signau;SIGN;Signau;460;30.3682;Gumligen Sud - Fluhmuhle;SBB CFF;2621847.97;1196543.646;1196543.65114,2621847.97058;8508205;8205;Signau;http://lod.opentransportdata.swiss/didok/8508205
SIO;Sion;SIO;Sion;100;92.43206;Lausanne - Simplon Tunnel I - Iselle;SBB CFF;2593870.441;1119570.816;1119570.82111,2593870.44058;8501506;1506;Sion;http://lod.opentransportdata.swiss/didok/8501506
SKY;Sennhof-Kyburg;SKY;Sennhof-Kyburg;754;7.20362;Winterthur Gruze - Bauma - Ruti ZH West;SBB CFF;2699649.234;1257994.319;1257994.32113,2699649.23063;8506003;6003;Sennhof-Kyburg;http://lod.opentransportdata.swiss/didok/8506003
SLG;Sulgen;SLG;Sulgen;852;0.01;Sulgen - Gossau SG;SBB CFF;2731380.223;1266802.49;1266802.49113,2731380.22065;8506217;6217;Sulgen;http://lod.opentransportdata.swiss/didok/8506217
SM;St-Maurice;SM;St-Maurice;100;51.56494;Lausanne - Simplon Tunnel I - Iselle;SBB CFF;2566308.638;1118418.611;1118418.61111,2566308.64055;8501403;1403;St-Maurice;http://lod.opentransportdata.swiss/didok/8501403
SOAD;Solothurn Allmend;SOAD;Solothurn Allmend;410;75.65197;Olten - Solothurn - Biel/Bienne;SBB CFF;2606272.903;1228664.191;1228664.19116,2606272.90056;8518963;18963;Solothurn Allmend;http://lod.opentransportdata.swiss/didok/8518963
SSMS;Sedrun SMF Sud;SSMF;Sedrun SMF;597;121.58712;Spurwechsel Sedrun SMF;SBB CFF;2701948.122;1168570.858;1168570.8611,2701948.12066;8518323;18323;Sedrun SMF Süd;http://lod.opentransportdata.swiss/didok/8518323
ST;St-Triphon;ST;St-Triphon;100;43.5994;Lausanne - Simplon Tunnel I - Iselle;SBB CFF;2564023.624;1125371.918;1125371.92112,2564023.62055;8501401;1401;St-Triphon;http://lod.opentransportdata.swiss/didok/8501401
STCH;Steinach;STCH;Steinach;825;91.6293;Romanshorn Feld H - Rorschach;SBB CFF;2750930.913;1263060.248;1263060.25113,2750930.91066;8516271;16271;Steinach;http://lod.opentransportdata.swiss/didok/8516271
STDG;Staz. della Galleria Sempione;STDG;Staz. della Galleria Sempione;100;156.01;Lausanne - Simplon Tunnel I - Iselle;SBB CFF;2650480.781;1124756.362;1124756.3611,2650480.78063;8501642;1642;Staz della Galleria Sempione;http://lod.opentransportdata.swiss/didok/8501642
STG;Steg;STG;Steg;754;29.81037;Winterthur Gruze - Bauma - Ruti ZH West;SBB CFF;2712853.006;1245851.847;1245851.85113,2712853.01064;8503135;3135;Steg;http://lod.opentransportdata.swiss/didok/8503135
STJ;Morges-St-Jean;STJ;Morges-St-Jean;150;11.162;Lausanne - Geneve-Aeroport;SBB CFF;2528587.964;1152301.624;1152301.62114,2528587.96051;8501047;1047;Morges-St-Jean;http://lod.opentransportdata.swiss/didok/8501047
STP;St-Prex;STP;St-Prex;150;16.91372;Lausanne - Geneve-Aeroport;SBB CFF;2524537.165;1148362.364;1148362.36115,2524537.16051;8501036;1036;St-Prex;http://lod.opentransportdata.swiss/didok/8501036
STSO;Stein-Sackingen Ost (Abzw);STS;Stein-Sackingen;700;58.27695;Brugg - Pratteln Ost;SBB CFF;2638855.642;1265586.944;1265586.94116,2638855.64058;8515474;15474;Stein-Säckingen Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515474
SW;Solothurn West;SW;Solothurn West;410;74.78302;Olten - Solothurn - Biel/Bienne;SBB CFF;2607070.345;1228423.933;1228423.93116,2607070.34056;8500206;206;Solothurn West;http://lod.opentransportdata.swiss/didok/8500206
TA;Tavannes;TA;Tavannes;226;55.17409;Sonceboz-Sombeval - Moutier - Delemont;SBB CFF;2582049.837;1229906.622;1229906.62116,2582049.84054;8500100;100;Tavannes;http://lod.opentransportdata.swiss/didok/8500100
TAMO;Tagermoos (Abzw);TAMO;Tagermoos (Abzw);822;59.14702;Etzwilen - Konstanz;SBB CFF;2728530.798;1279884.642;1279884.64114,2728530.80064;8516163;16163;Tägermoos (Abzw);http://lod.opentransportdata.swiss/didok/8516163
